date,dates,rank,song,artist
05/01/1959,01/01/1959,7,Tom Dooley,The Kingston Trio
05/01/1959,01/01/1959,8,A Lover's Question,Clyde McPhatter
05/01/1959,01/01/1959,9,Gotta Travel On,Billy Grammer
05/01/1959,01/01/1959,10,Whole Lotta Loving,Fats Domino
05/01/1959,01/01/1959,11,Lonesome Town,Ricky Nelson
05/01/1959,01/01/1959,12,Beep Beep,The Playmates
05/01/1959,01/01/1959,13,Bimbombey,Jimmie Rodgers
05/01/1959,01/01/1959,14,I Got Stung,Elvis Presley
05/01/1959,01/01/1959,15,Donna,Ritchie Valens
02/02/1959,01/02/1959,1,Smoke Gets In Your Eyes,The Platters
02/02/1959,01/02/1959,2,The All American Boy,Bill Parsons
02/02/1959,01/02/1959,3,Donna,Ritchie Valens
02/02/1959,01/02/1959,4,16 Candles,The Crests
02/02/1959,01/02/1959,5,Stagger Lee,Lloyd Price
02/02/1959,01/02/1959,6,My Happiness,Connie Francis
02/02/1959,01/02/1959,7,Gotta Travel On,Billy Grammer
02/02/1959,01/02/1959,8,Lonely Teardrops,Jackie Wilson
02/02/1959,01/02/1959,9,A Lover's Question,Clyde McPhatter
02/02/1959,01/02/1959,10,Goodbye Baby,Jack Scott
02/02/1959,01/02/1959,11,Manhattan Spiritual,Reg Owen & His Orchestra
02/02/1959,01/02/1959,12,Whole Lotta Loving,Fats Domino
02/02/1959,01/02/1959,13,Tall Paul,Annette With The Afterbeats
02/02/1959,01/02/1959,14,The Diary,Neil Sedaka
02/02/1959,01/02/1959,15,(All of a Sudden) My Heart Sings,Paul Anka
02/03/1959,01/03/1959,1,Stagger Lee,Lloyd Price
02/03/1959,01/03/1959,2,Donna,Ritchie Valens
02/03/1959,01/03/1959,3,Charlie Brown,The Coasters
02/03/1959,01/03/1959,4,16 Candles,The Crests
02/03/1959,01/03/1959,5,Petite Fleur (Little Flower),Chris Barber's Jazz Band
02/03/1959,01/03/1959,6,I Cried A Tear,LaVern Baker
02/03/1959,01/03/1959,7,Venus,Frankie Avalon
02/03/1959,01/03/1959,8,Peter Gunn,Ray Anthony and His Orchestra
02/03/1959,01/03/1959,9,The All American Boy,Bill Parsons
02/03/1959,01/03/1959,10,Alvin's Harmonica,David Seville And The Chipmunks
02/03/1959,01/03/1959,11,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams
02/03/1959,01/03/1959,12,Tall Paul,Annette With The Afterbeats
02/03/1959,01/03/1959,13,I've Had It,The Bell Notes
02/03/1959,01/03/1959,14,Lonely Teardrops,Jackie Wilson
02/03/1959,01/03/1959,15,It's Just A Matter Of Time,Brook Benton
06/04/1959,01/04/1959,1,Venus,Frankie Avalon
06/04/1959,01/04/1959,2,Come Softly To Me,The Fleetwoods
06/04/1959,01/04/1959,3,It's Just A Matter Of Time,Brook Benton
06/04/1959,01/04/1959,4,Pink Shoe Laces,Dodie Stevens
06/04/1959,01/04/1959,5,Tragedy,Thomas Wayne With the Delons
