date,dates,rank,song,artist
02/08/1969,01/08/1969,11,Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown
02/08/1969,01/08/1969,12,Color Him Father,The Winstons
02/08/1969,01/08/1969,13,Quentin's Theme,The Charles Randolph Grean Sounde
02/08/1969,01/08/1969,14,My Pledge Of Love,The Joe Jeffrey Group
02/08/1969,01/08/1969,15,Good Morning Starshine,Oliver
06/09/1969,01/09/1969,1,Honky Tonk Women,The Rolling Stones
06/09/1969,01/09/1969,2,A Boy Named Sue,Johnny Cash
06/09/1969,01/09/1969,3,"Sugar, Sugar",The Archies
06/09/1969,01/09/1969,4,Green River,Creedence Clearwater Revival
06/09/1969,01/09/1969,5,Get Together,The Youngbloods
06/09/1969,01/09/1969,6,Put A Little Love In Your Heart,Jackie DeShannon
06/09/1969,01/09/1969,7,Lay Lady Lay,Bob Dylan
06/09/1969,01/09/1969,8,Easy To Be Hard,Three Dog Night
06/09/1969,01/09/1969,9,Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond
06/09/1969,01/09/1969,10,I'll Never Fall In Love Again,Tom Jones
06/09/1969,01/09/1969,11,I Can't Get Next To You,The Temptations
06/09/1969,01/09/1969,12,Laughing,The Guess Who
06/09/1969,01/09/1969,13,Polk Salad Annie,Tony Joe White
06/09/1969,01/09/1969,14,Give Peace A Chance,Plastic Ono Band
06/09/1969,01/09/1969,15,Hurt So Bad,The Lettermen
04/10/1969,01/10/1969,1,"Sugar, Sugar",The Archies
04/10/1969,01/10/1969,2,Jean,Oliver
04/10/1969,01/10/1969,3,Little Woman,Bobby Sherman
04/10/1969,01/10/1969,4,Easy To Be Hard,Three Dog Night
04/10/1969,01/10/1969,5,I Can't Get Next To You,The Temptations
04/10/1969,01/10/1969,6,Honky Tonk Women,The Rolling Stones
04/10/1969,01/10/1969,7,Green River,Creedence Clearwater Revival
04/10/1969,01/10/1969,8,Everybody's Talkin',Nilsson
04/10/1969,01/10/1969,9,Hot Fun In The Summertime,Sly & The Family Stone
04/10/1969,01/10/1969,10,"Oh, What A Night",The Dells
04/10/1969,01/10/1969,11,This Girl Is A Woman Now,Gary Puckett And The Union Gap
04/10/1969,01/10/1969,12,I'll Never Fall In Love Again,Tom Jones
04/10/1969,01/10/1969,13,Get Together,The Youngbloods
04/10/1969,01/10/1969,14,Suspicious Minds,Elvis Presley
04/10/1969,01/10/1969,15,That's The Way Love Is,Marvin Gaye
01/11/1969,01/11/1969,1,Suspicious Minds,Elvis Presley
01/11/1969,01/11/1969,2,Wedding Bell Blues,The 5th Dimension
01/11/1969,01/11/1969,3,"Sugar, Sugar",The Archies
01/11/1969,01/11/1969,4,I Can't Get Next To You,The Temptations
01/11/1969,01/11/1969,5,Baby It's You,Smith
01/11/1969,01/11/1969,6,Hot Fun In The Summertime,Sly & The Family Stone
01/11/1969,01/11/1969,7,Little Woman,Bobby Sherman
01/11/1969,01/11/1969,8,Jean,Oliver
01/11/1969,01/11/1969,9,Tracy,The Cuff Links
01/11/1969,01/11/1969,10,Come Together/Something,The Beatles
01/11/1969,01/11/1969,11,Something,The Beatles
01/11/1969,01/11/1969,12,Smile A Little Smile For Me,The Flying Machine
01/11/1969,01/11/1969,13,Is That All There Is,Peggy Lee
01/11/1969,01/11/1969,14,That's The Way Love Is,Marvin Gaye
01/11/1969,01/11/1969,15,I'm Gonna Make You Mine,Lou Christie
06/12/1969,01/12/1969,1,Na Na Hey Hey Kiss Him Goodbye,Steam
06/12/1969,01/12/1969,2,Leaving On A Jet Plane,"Peter, Paul & Mary"
06/12/1969,01/12/1969,3,Come Together/Something,The Beatles
06/12/1969,01/12/1969,4,Take A Letter Maria,R.B. Greaves
06/12/1969,01/12/1969,5,Down On The Corner/Fortunate Son,Creedence Clearwater Revival
06/12/1969,01/12/1969,6,And When I Die,"Blood, Sweat & Tears"
06/12/1969,01/12/1969,7,Wedding Bell Blues,The 5th Dimension
06/12/1969,01/12/1969,8,"Yester-Me, Yester-You, Yesterday",Stevie Wonder
06/12/1969,01/12/1969,9,Someday We'll Be Together,Diana Ross & The Supremes
06/12/1969,01/12/1969,10,Eli's Coming,Three Dog Night
06/12/1969,01/12/1969,11,Backfield In Motion,Mel And Tim
06/12/1969,01/12/1969,12,Smile A Little Smile For Me,The Flying Machine
06/12/1969,01/12/1969,13,Raindrops Keep Fallin' On My Head,B.J. Thomas
06/12/1969,01/12/1969,14,"Baby, I'm For Real",The Originals
06/12/1969,01/12/1969,15,Cherry Hill Park,Billy Joe Royal
03/01/1970,01/01/1970,1,Raindrops Keep Fallin' On My Head,B.J. Thomas
03/01/1970,01/01/1970,2,Leaving On A Jet Plane,"Peter, Paul & Mary"
03/01/1970,01/01/1970,3,Someday We'll Be Together,Diana Ross & The Supremes
03/01/1970,01/01/1970,4,Down On The Corner/Fortunate Son,Creedence Clearwater Revival
03/01/1970,01/01/1970,5,Na Na Hey Hey Kiss Him Goodbye,Steam
03/01/1970,01/01/1970,6,Whole Lotta Love,Led Zeppelin
03/01/1970,01/01/1970,7,I Want You Back,Jackson 5
03/01/1970,01/01/1970,8,Venus,The Shocking Blue
03/01/1970,01/01/1970,9,Holly Holy,Neil Diamond
03/01/1970,01/01/1970,10,La La La (If I Had You),Bobby Sherman
03/01/1970,01/01/1970,11,Midnight Cowboy,Ferrante & Teicher
03/01/1970,01/01/1970,12,Come Together/Something,The Beatles
03/01/1970,01/01/1970,13,Jam Up Jelly Tight,Tommy Roe
03/01/1970,01/01/1970,14,Eli's Coming,Three Dog Night
03/01/1970,01/01/1970,15,Don't Cry Daddy/Rubberneckin',Elvis Presley
07/02/1970,01/02/1970,1,Venus,The Shocking Blue
07/02/1970,01/02/1970,2,I Want You Back,Jackson 5
07/02/1970,01/02/1970,3,Raindrops Keep Fallin' On My Head,B.J. Thomas
07/02/1970,01/02/1970,4,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone
07/02/1970,01/02/1970,5,Without Love (There Is Nothing),Tom Jones
07/02/1970,01/02/1970,6,I'll Never Fall In Love Again,Dionne Warwick
07/02/1970,01/02/1970,7,Hey There Lonely Girl,Eddie Holman
07/02/1970,01/02/1970,8,Whole Lotta Love,Led Zeppelin
07/02/1970,01/02/1970,9,No Time,The Guess Who
07/02/1970,01/02/1970,10,Jingle Jangle,The Archies
07/02/1970,01/02/1970,11,Psychedelic Shack,The Temptations
07/02/1970,01/02/1970,12,Leaving On A Jet Plane,"Peter, Paul & Mary"
07/02/1970,01/02/1970,13,Arizona,Mark Lindsay
07/02/1970,01/02/1970,14,Don't Cry Daddy/Rubberneckin',Elvis Presley
07/02/1970,01/02/1970,15,Someday We'll Be Together,Diana Ross & The Supremes
07/03/1970,01/03/1970,1,Bridge Over Troubled Water,Simon & Garfunkel
07/03/1970,01/03/1970,2,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival
07/03/1970,01/03/1970,3,Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone
07/03/1970,01/03/1970,4,Rainy Night In Georgia/Rubberneckin',Brook Benton
07/03/1970,01/03/1970,5,Hey There Lonely Girl,Eddie Holman
07/03/1970,01/03/1970,6,Ma Belle Amie,The Tee Set
07/03/1970,01/03/1970,7,The Rapper,The Jaggerz
07/03/1970,01/03/1970,8,Give Me Just A Little More Time,Chairman Of The Board
07/03/1970,01/03/1970,9,Raindrops Keep Fallin' On My Head,B.J. Thomas
07/03/1970,01/03/1970,10,"He Ain't Heavy, He's My Brother",The Hollies
07/03/1970,01/03/1970,11,Psychedelic Shack,The Temptations
07/03/1970,01/03/1970,12,No Time,The Guess Who
07/03/1970,01/03/1970,13,Didn't I (Blow Your Mind This Time),The Delfonics
07/03/1970,01/03/1970,14,I Want You Back,Jackson 5
07/03/1970,01/03/1970,15,Evil Ways,Santana
04/04/1970,01/04/1970,1,Bridge Over Troubled Water,Simon & Garfunkel
04/04/1970,01/04/1970,2,Let It Be,The Beatles
04/04/1970,01/04/1970,3,Instant Karma (We All Shine On),John Ono Lennon
04/04/1970,01/04/1970,4,ABC,Jackson 5
04/04/1970,01/04/1970,5,Love Grows (Where My Rosemary Goes),Edison Lighthouse
04/04/1970,01/04/1970,6,Spirit In The Sky,Norman Greenbaum
04/04/1970,01/04/1970,7,House Of The Rising Sun,Frijid Pink
04/04/1970,01/04/1970,8,The Rapper,The Jaggerz
04/04/1970,01/04/1970,9,Come And Get It,Badfinger
04/04/1970,01/04/1970,10,"Easy Come, Easy Go",Bobby Sherman
04/04/1970,01/04/1970,11,"He Ain't Heavy, He's My Brother",The Hollies
04/04/1970,01/04/1970,12,Give Me Just A Little More Time,Chairman Of The Board
04/04/1970,01/04/1970,13,Call Me/Son Of A Preacher Man,Aretha Franklin
04/04/1970,01/04/1970,14,Rainy Night In Georgia/Rubberneckin',Brook Benton
04/04/1970,01/04/1970,15,Celebrate,Three Dog Night
02/05/1970,01/05/1970,1,ABC,Jackson 5
02/05/1970,01/05/1970,2,Let It Be,The Beatles
02/05/1970,01/05/1970,3,Spirit In The Sky,Norman Greenbaum
02/05/1970,01/05/1970,4,American Woman/No Sugar Tonight,The Guess Who
02/05/1970,01/05/1970,5,Instant Karma (We All Shine On),John Ono Lennon
02/05/1970,01/05/1970,6,Love Or Let Me Be Lonely,The Friends Of Distinction
02/05/1970,01/05/1970,7,Love Grows (Where My Rosemary Goes),Edison Lighthouse
02/05/1970,01/05/1970,8,Come And Get It,Badfinger
02/05/1970,01/05/1970,9,Vehicle,The Ides Of March
02/05/1970,01/05/1970,10,Turn Back The Hands Of Time,Tyrone Davis
02/05/1970,01/05/1970,11,Something's Burning,Kenny Rogers & The First Edition
02/05/1970,01/05/1970,12,Up The Ladder To The Roof,The Supremes
02/05/1970,01/05/1970,13,Reflections Of My Life,The Marmalade
02/05/1970,01/05/1970,14,Bridge Over Troubled Water,Simon & Garfunkel
02/05/1970,01/05/1970,15,Woodstock,"Crosby, Stills, Nash & Young"
06/06/1970,01/06/1970,1,Everything Is Beautiful,Ray Stevens
06/06/1970,01/06/1970,2,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks)
06/06/1970,01/06/1970,3,Love On A Two-Way Street,The Moments
06/06/1970,01/06/1970,4,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival
06/06/1970,01/06/1970,5,Cecilia,Simon & Garfunkel
06/06/1970,01/06/1970,6,Get Ready,Rare Earth
06/06/1970,01/06/1970,7,The Letter,Joe Cocker with Leon Russell & The Shelter People
06/06/1970,01/06/1970,8,American Woman/No Sugar Tonight,The Guess Who
06/06/1970,01/06/1970,9,Make Me Smile,Chicago
06/06/1970,01/06/1970,10,The Long And Winding Road/For You Blue,The Beatles
06/06/1970,01/06/1970,11,Vehicle,The Ides Of March
06/06/1970,01/06/1970,12,Turn Back The Hands Of Time,Tyrone Davis
06/06/1970,01/06/1970,13,Daughter Of Darkness,Tom Jones
06/06/1970,01/06/1970,14,Reflections Of My Life,The Marmalade
06/06/1970,01/06/1970,15,The Love You Save/I Found That Girl,Jackson 5
04/07/1970,01/07/1970,1,The Love You Save/I Found That Girl,Jackson 5
04/07/1970,01/07/1970,2,Mama Told Me (Not To Come),Three Dog Night
04/07/1970,01/07/1970,3,Ball Of Confusion (That's What The World Is Today),The Temptations
04/07/1970,01/07/1970,4,The Long And Winding Road/For You Blue,The Beatles
04/07/1970,01/07/1970,5,Hitchin' A Ride,Vanity Fare
04/07/1970,01/07/1970,6,Ride Captain Ride,Blues Image
04/07/1970,01/07/1970,7,Band Of Gold,Freda Payne
04/07/1970,01/07/1970,8,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers
04/07/1970,01/07/1970,9,The Wonder Of You/Mama Liked The Roses,Elvis Presley
04/07/1970,01/07/1970,10,Get Ready,Rare Earth
04/07/1970,01/07/1970,11,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks)
04/07/1970,01/07/1970,12,Gimme Dat Ding,The Pipkins
04/07/1970,01/07/1970,13,United We Stand,The Brotherhood Of Man
04/07/1970,01/07/1970,14,(They Long To Be) Close To You,Carpenters
04/07/1970,01/07/1970,15,My Baby Loves Lovin',White Plains
01/08/1970,01/08/1970,1,(They Long To Be) Close To You,Carpenters
01/08/1970,01/08/1970,2,Make It With You,Bread
01/08/1970,01/08/1970,3,Mama Told Me (Not To Come),Three Dog Night
01/08/1970,01/08/1970,4,Band Of Gold,Freda Payne
01/08/1970,01/08/1970,5,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
01/08/1970,01/08/1970,6,The Love You Save/I Found That Girl,Jackson 5
01/08/1970,01/08/1970,7,Spill The Wine,Eric Burdon And War
01/08/1970,01/08/1970,8,Ball Of Confusion (That's What The World Is Today),The Temptations
01/08/1970,01/08/1970,9,"Tighter, Tighter",Alive & Kicking
01/08/1970,01/08/1970,10,O-o-h Child/Dear Prudence,The 5 Stairsteps
01/08/1970,01/08/1970,11,Ride Captain Ride,Blues Image
01/08/1970,01/08/1970,12,War,Edwin Starr
01/08/1970,01/08/1970,13,Hitchin' A Ride,Vanity Fare
01/08/1970,01/08/1970,14,Are You Ready?,Pacific Gas And Electric
01/08/1970,01/08/1970,15,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers
05/09/1970,01/09/1970,1,War,Edwin Starr
05/09/1970,01/09/1970,2,Ain't No Mountain High Enough,Diana Ross
05/09/1970,01/09/1970,3,Make It With You,Bread
05/09/1970,01/09/1970,4,In The Summertime,Mungo Jerry
05/09/1970,01/09/1970,5,(They Long To Be) Close To You,Carpenters
05/09/1970,01/09/1970,6,25 Or 6 To 4,Chicago
05/09/1970,01/09/1970,7,Patches,Clarence Carter
05/09/1970,01/09/1970,8,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson
05/09/1970,01/09/1970,9,Spill The Wine,Eric Burdon And War
05/09/1970,01/09/1970,10,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival
05/09/1970,01/09/1970,11,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
05/09/1970,01/09/1970,12,Don't Play That Song,Aretha Franklin with The Dixie Flyers
05/09/1970,01/09/1970,13,"Julie, Do Ya Love Me",Bobby Sherman
05/09/1970,01/09/1970,14,Hi-De-Ho,"Blood, Sweat & Tears"
05/09/1970,01/09/1970,15,I Just Can't Help Believing,B.J. Thomas
03/10/1970,01/10/1970,1,Ain't No Mountain High Enough,Diana Ross
03/10/1970,01/10/1970,2,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival
03/10/1970,01/10/1970,3,Candida,Dawn
03/10/1970,01/10/1970,4,Cracklin' Rosie,Neil Diamond
03/10/1970,01/10/1970,5,"Julie, Do Ya Love Me",Bobby Sherman
03/10/1970,01/10/1970,6,I'll Be There,Jackson 5
03/10/1970,01/10/1970,7,(I Know) I'm Losing You,Rare Earth
03/10/1970,01/10/1970,8,Snowbird,Anne Murray
03/10/1970,01/10/1970,9,War,Edwin Starr
03/10/1970,01/10/1970,10,All Right Now,Free
03/10/1970,01/10/1970,11,Patches,Clarence Carter
03/10/1970,01/10/1970,12,Groovy Situation,Gene Chandler
03/10/1970,01/10/1970,13,Don't Play That Song,Aretha Franklin with The Dixie Flyers
03/10/1970,01/10/1970,14,Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band
03/10/1970,01/10/1970,15,It's A Shame,The Spinners
07/11/1970,01/11/1970,1,I'll Be There,Jackson 5
07/11/1970,01/11/1970,2,We've Only Just Begun,Carpenters
07/11/1970,01/11/1970,3,Fire And Rain,James Taylor
07/11/1970,01/11/1970,4,Green-Eyed Lady,Sugarloaf
07/11/1970,01/11/1970,5,Indiana Wants Me,R. Dean Taylor
07/11/1970,01/11/1970,6,All Right Now,Free
07/11/1970,01/11/1970,7,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
07/11/1970,01/11/1970,8,Cracklin' Rosie,Neil Diamond
07/11/1970,01/11/1970,9,Candida,Dawn
07/11/1970,01/11/1970,10,Lola,The Kinks
07/11/1970,01/11/1970,11,It Don't Matter To Me,Bread
07/11/1970,01/11/1970,12,Somebody's Been Sleeping,100 Proof Aged in Soul
07/11/1970,01/11/1970,13,The Tears Of A Clown,Smokey Robinson & The Miracles
07/11/1970,01/11/1970,14,Montego Bay,Bobby Bloom
07/11/1970,01/11/1970,15,Still Water (Love),Four Tops
05/12/1970,01/12/1970,1,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
05/12/1970,01/12/1970,2,The Tears Of A Clown,Smokey Robinson & The Miracles
05/12/1970,01/12/1970,3,Gypsy Woman,Brian Hyland
05/12/1970,01/12/1970,4,I'll Be There,Jackson 5
05/12/1970,01/12/1970,5,We've Only Just Begun,Carpenters
05/12/1970,01/12/1970,6,Fire And Rain,James Taylor
05/12/1970,01/12/1970,7,One Less Bell To Answer,The 5th Dimension
05/12/1970,01/12/1970,8,No Matter What,Badfinger
05/12/1970,01/12/1970,9,Heaven Help Us All,Stevie Wonder
05/12/1970,01/12/1970,10,Share The Land,The Guess Who
05/12/1970,01/12/1970,11,You Don't Have To Say You Love Me/Patch It Up,Elvis Presley
05/12/1970,01/12/1970,12,"See Me, Feel Me",The Who
05/12/1970,01/12/1970,13,My Sweet Lord/Isn't It A Pity,George Harrison
05/12/1970,01/12/1970,14,5-10-15-20 (25-30 Years Of Love),The Presidents
05/12/1970,01/12/1970,15,Montego Bay,Bobby Bloom
02/01/1971,01/01/1971,1,My Sweet Lord/Isn't It A Pity,George Harrison
02/01/1971,01/01/1971,2,One Less Bell To Answer,The 5th Dimension
02/01/1971,01/01/1971,3,Knock Three Times,Dawn
02/01/1971,01/01/1971,4,The Tears Of A Clown,Smokey Robinson & The Miracles
02/01/1971,01/01/1971,5,Black Magic Woman,Santana
02/01/1971,01/01/1971,6,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
02/01/1971,01/01/1971,7,Does Anybody Really Know What Time It Is?,Chicago
02/01/1971,01/01/1971,8,Stoned Love,The Supremes
02/01/1971,01/01/1971,9,Domino,Van Morrison
02/01/1971,01/01/1971,10,Gypsy Woman,Brian Hyland
02/01/1971,01/01/1971,11,For The Good Times,Ray Price
02/01/1971,01/01/1971,12,Stoney End,Barbra Streisand
02/01/1971,01/01/1971,13,No Matter What,Badfinger
02/01/1971,01/01/1971,14,Pay To The Piper,Chairman Of The Board
02/01/1971,01/01/1971,15,It's Impossible,Perry Como
06/02/1971,01/02/1971,1,Knock Three Times,Dawn
06/02/1971,01/02/1971,2,One Bad Apple,The Osmonds
06/02/1971,01/02/1971,3,My Sweet Lord/Isn't It A Pity,George Harrison
06/02/1971,01/02/1971,4,Lonely Days,Bee Gees
06/02/1971,01/02/1971,5,Rose Garden,Lynn Anderson
06/02/1971,01/02/1971,6,I Hear You Knocking,Dave Edmunds
06/02/1971,01/02/1971,7,Groove Me,King Floyd
06/02/1971,01/02/1971,8,Your Song,Elton John
06/02/1971,01/02/1971,9,One Less Bell To Answer,The 5th Dimension
06/02/1971,01/02/1971,10,If I Were Your Woman,Gladys Knight And The Pips
06/02/1971,01/02/1971,11,Stoney End,Barbra Streisand
06/02/1971,01/02/1971,12,Watching Scotty Grow,Bobby Goldsboro
06/02/1971,01/02/1971,13,It's Impossible,Perry Como
06/02/1971,01/02/1971,14,Love The One You're With,Stephen Stills
06/02/1971,01/02/1971,15,Mr. Bojangles,Nitty Gritty Dirt Band
06/03/1971,01/03/1971,1,One Bad Apple,The Osmonds
06/03/1971,01/03/1971,2,Mama's Pearl,Jackson 5
06/03/1971,01/03/1971,3,Me And Bobby McGee,Janis Joplin
06/03/1971,01/03/1971,4,Just My Imagination (Running Away With Me),The Temptations
06/03/1971,01/03/1971,5,If You Could Read My Mind,Gordon Lightfoot
06/03/1971,01/03/1971,6,She's A Lady,Tom Jones
06/03/1971,01/03/1971,7,For All We Know,Carpenters
06/03/1971,01/03/1971,8,Amos Moses,Jerry Reed
06/03/1971,01/03/1971,9,Mr. Bojangles,Nitty Gritty Dirt Band
06/03/1971,01/03/1971,10,Sweet Mary,Wadsworth Mansion
06/03/1971,01/03/1971,11,Have You Ever Seen The Rain/Hey Tonight,Creedence Clearwater Revival
06/03/1971,01/03/1971,12,Proud Mary,Ike & Tina Turner
06/03/1971,01/03/1971,13,(Theme From) Love Story,Henry Mancini And His Orchestra
06/03/1971,01/03/1971,14,Knock Three Times,Dawn
06/03/1971,01/03/1971,15,Doesn't Somebody Want To Be Wanted,The Partridge Family Starring Shirley Jones Featuring David Cassidy
03/04/1971,01/04/1971,1,Just My Imagination (Running Away With Me),The Temptations
03/04/1971,01/04/1971,2,Me And Bobby McGee,Janis Joplin
03/04/1971,01/04/1971,3,For All We Know,Carpenters
03/04/1971,01/04/1971,4,She's A Lady,Tom Jones
03/04/1971,01/04/1971,5,What's Going On,Marvin Gaye
03/04/1971,01/04/1971,6,Proud Mary,Ike & Tina Turner
03/04/1971,01/04/1971,7,Doesn't Somebody Want To Be Wanted,The Partridge Family Starring Shirley Jones Featuring David Cassidy
03/04/1971,01/04/1971,8,Help Me Make It Through The Night,Sammi Smith
03/04/1971,01/04/1971,9,(Where Do I Begin) Love Story,Andy Williams
03/04/1971,01/04/1971,10,Another Day/Oh Woman Oh Why,Paul McCartney
03/04/1971,01/04/1971,11,Joy To The World,Three Dog Night
03/04/1971,01/04/1971,12,Wild World,Cat Stevens
03/04/1971,01/04/1971,13,Oye Como Va,Santana
03/04/1971,01/04/1971,14,What Is Life,George Harrison
03/04/1971,01/04/1971,15,Temptation Eyes,The Grass Roots
01/05/1971,01/05/1971,1,Joy To The World,Three Dog Night
01/05/1971,01/05/1971,2,Put Your Hand In The Hand,Ocean
01/05/1971,01/05/1971,3,Never Can Say Goodbye,Jackson 5
01/05/1971,01/05/1971,4,What's Going On,Marvin Gaye
01/05/1971,01/05/1971,5,I Am...I Said/Done Too Soon,Neil Diamond
01/05/1971,01/05/1971,6,If,Bread
01/05/1971,01/05/1971,7,Stay Awhile,The Bells
01/05/1971,01/05/1971,8,Another Day/Oh Woman Oh Why,Paul McCartney
01/05/1971,01/05/1971,9,Just My Imagination (Running Away With Me),The Temptations
01/05/1971,01/05/1971,10,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop
01/05/1971,01/05/1971,11,Power To The People,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
01/05/1971,01/05/1971,12,Bridge Over Troubled Water/Brand New Me,Aretha Franklin
01/05/1971,01/05/1971,13,We Can Work It Out,Stevie Wonder
01/05/1971,01/05/1971,14,One Toke Over The Line,Brewer And Shipley
01/05/1971,01/05/1971,15,She's A Lady,Tom Jones
05/06/1971,01/06/1971,1,Brown Sugar,The Rolling Stones
05/06/1971,01/06/1971,2,Joy To The World,Three Dog Night
05/06/1971,01/06/1971,3,Want Ads,The Honey Cone
05/06/1971,01/06/1971,4,It Don't Come Easy,Ringo Starr
05/06/1971,01/06/1971,5,Rainy Days And Mondays,Carpenters
05/06/1971,01/06/1971,6,Bridge Over Troubled Water/Brand New Me,Aretha Franklin
05/06/1971,01/06/1971,7,Sweet And Innocent,Donny Osmond of The Osmonds
05/06/1971,01/06/1971,8,Never Can Say Goodbye,Jackson 5
05/06/1971,01/06/1971,9,It's Too Late/I Feel The Earth Move,Carole King
05/06/1971,01/06/1971,10,Me And You And A Dog Named Boo,Lobo
05/06/1971,01/06/1971,11,I'll Meet You Halfway,The Partridge Family Starring Shirley Jones Featuring David Cassidy
05/06/1971,01/06/1971,12,Put Your Hand In The Hand,Ocean
05/06/1971,01/06/1971,13,I Don't Know How To Love Him,Helen Reddy
05/06/1971,01/06/1971,14,Superstar,Murray Head With The Trinidad Singers
05/06/1971,01/06/1971,15,Treat Her Like A Lady,Cornelius Brothers & Sister Rose
03/07/1971,01/07/1971,1,It's Too Late/I Feel The Earth Move,Carole King
03/07/1971,01/07/1971,2,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders
03/07/1971,01/07/1971,3,Treat Her Like A Lady,Cornelius Brothers & Sister Rose
03/07/1971,01/07/1971,4,Rainy Days And Mondays,Carpenters
03/07/1971,01/07/1971,5,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds"
03/07/1971,01/07/1971,6,Want Ads,The Honey Cone
03/07/1971,01/07/1971,7,Brown Sugar,The Rolling Stones
03/07/1971,01/07/1971,8,You've Got A Friend,James Taylor
03/07/1971,01/07/1971,9,"When You're Hot, You're Hot",Jerry Reed
03/07/1971,01/07/1971,10,It Don't Come Easy,Ringo Starr
03/07/1971,01/07/1971,11,She's Not Just Another Woman,The 8th Day
03/07/1971,01/07/1971,12,Mr. Big Stuff,Jean Knight
03/07/1971,01/07/1971,13,Sweet And Innocent,Donny Osmond of The Osmonds
03/07/1971,01/07/1971,14,Double Lovin',The Osmonds
03/07/1971,01/07/1971,15,Don't Knock My Love - Pt. 1,Wilson Pickett
07/08/1971,01/08/1971,1,How Can You Mend A Broken Heart,Bee Gees
07/08/1971,01/08/1971,2,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders
07/08/1971,01/08/1971,3,You've Got A Friend,James Taylor
07/08/1971,01/08/1971,4,Mr. Big Stuff,Jean Knight
07/08/1971,01/08/1971,5,Draggin' The Line,Tommy James
07/08/1971,01/08/1971,6,"Take Me Home, Country Roads",John Denver
07/08/1971,01/08/1971,7,It's Too Late/I Feel The Earth Move,Carole King
07/08/1971,01/08/1971,8,Beginnings/Colour My World,Chicago
07/08/1971,01/08/1971,9,"What The World Needs Now Is Love/Abraham, Martin and John",Tom Clay
07/08/1971,01/08/1971,10,"Mercy, Mercy Me (The Ecology)",Marvin Gaye
07/08/1971,01/08/1971,11,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds"
07/08/1971,01/08/1971,12,Bring The Boys Home,Freda Payne
07/08/1971,01/08/1971,13,Never Ending Song Of Love,Delaney & Bonnie & Friends
07/08/1971,01/08/1971,14,Sooner Or Later,The Grass Roots
07/08/1971,01/08/1971,15,Signs,Five Man Electrical Band
04/09/1971,01/09/1971,1,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
04/09/1971,01/09/1971,2,How Can You Mend A Broken Heart,Bee Gees
04/09/1971,01/09/1971,3,Smiling Faces Sometimes,The Undisputed Truth
04/09/1971,01/09/1971,4,Spanish Harlem,Aretha Franklin
04/09/1971,01/09/1971,5,Go Away Little Girl,Donny Osmond
04/09/1971,01/09/1971,6,Ain't No Sunshine,Bill Withers
04/09/1971,01/09/1971,7,"Take Me Home, Country Roads",John Denver
04/09/1971,01/09/1971,8,Signs,Five Man Electrical Band
04/09/1971,01/09/1971,9,Liar,Three Dog Night
04/09/1971,01/09/1971,10,I Just Want To Celebrate,Rare Earth
04/09/1971,01/09/1971,11,Whatcha See Is Whatcha Get,The Dramatics
04/09/1971,01/09/1971,12,Mr. Big Stuff,Jean Knight
04/09/1971,01/09/1971,13,"Mercy, Mercy Me (The Ecology)",Marvin Gaye
04/09/1971,01/09/1971,14,Riders On The Storm,The Doors
04/09/1971,01/09/1971,15,Beginnings/Colour My World,Chicago
02/10/1971,01/10/1971,1,Maggie May/Reason To Believe,Rod Stewart
02/10/1971,01/10/1971,2,Go Away Little Girl,Donny Osmond
02/10/1971,01/10/1971,3,The Night They Drove Old Dixie Down,Joan Baez
02/10/1971,01/10/1971,4,Superstar/Bless The Beasts And Children,Carpenters
02/10/1971,01/10/1971,5,Ain't No Sunshine,Bill Withers
02/10/1971,01/10/1971,6,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
02/10/1971,01/10/1971,7,Spanish Harlem,Aretha Franklin
02/10/1971,01/10/1971,8,Smiling Faces Sometimes,The Undisputed Truth
